SAMPID	SMATSSCR	SMCENTER	SMRIN	SMTS	SMTSD	SMUBRID	SMTSISCH	SMTSPAX	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SMAFRZE	SMGTC	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-1117F-0003-SM-58Q7G	NA	B1	NA	Blood	Whole Blood	0013756	1188	NA	BP-38516	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/02/2013	LCSET-4574	01/15/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1117F-0003-SM-5DWSB	NA	B1	NA	Blood	Whole Blood	0013756	1188	NA	BP-38516	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/02/2013	GTEx_OM25_Dec_01	01/28/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1117F-0003-SM-6WBT7	NA	B1	NA	Blood	Whole Blood	0013756	1188	NA	BP-38516	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/02/2013	LCSET-6056	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1117F-0526-SM-5EGHJ	0	B1	8	Blood Vessel	Artery - Tibial	0007610	1221	1120	BP-43495	RNA Extraction from Paxgene-derived Lysate Plate Based	09/12/2013	LCSET-4764	02/09/2014	TruSeq.v1	RNASEQ		0.983859	223040	0.97136	NA	0.98893	0.767837	NA	22193	1	NA	76	NA	0.00263069	126	0	59839400	0.0283102	173556	60509200	9407590	NA	22218	29681000	NA	NA	0	0.203524	0.98893	0.759337	59839400	0.00592874	12951200	6139790	13090100	125	13175400	11000300	0.00427126	13150900	49.9535	0.00286826	0.994001	NA	0	50.2667
GTEX-1117F-0626-SM-5N9CS	1	B1	6.9	Blood Vessel	Artery - Coronary	0001621	1243	1098	BP-43956	RNA Extraction from Paxgene-derived Lysate Plate Based	09/25/2013	LCSET-4904	03/22/2014	TruSeq.v1	RNASEQ		0.990294	174501	0.970076	NA	0.991275	0.76982	NA	23331	1	NA	76	NA	0.0030529	136	0	69859200	0.0296435	376087	70474000	3633120	NA	23354	34766500	NA	NA	0	0.200257	0.991275	0.763103	69859200	0.00367148	15167600	6124860	15220100	151	15164200	11617900	0.00336188	15291900	50.2096	0.00533653	0.992257	NA	0	50.0865
GTEX-1117F-0726-SM-5GIEN	1	B1	6.3	Heart	Heart - Atrial Appendage	0006631	1244	1097	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/03/2013	LCSET-4796	02/27/2014	TruSeq.v1	RNASEQ		0.990734	184394	0.97883	NA	0.993223	0.803478	NA	22000	1	NA	76	NA	0.00311411	131	0	62885700	0.0208913	1936430	63314800	8252970	NA	22015	31291500	NA	NA	0	0.175352	0.993223	0.798033	62885700	0.00377222	13636600	9075650	13612800	146	13627100	9266070	0.00344234	13756700	50.2367	0.0305841	0.995711	NA	0	49.9563
GTEX-111CU-0003-SM-58Q95	NA	B1	NA	Blood	Whole Blood	0013756	-148	NA	BP-38688	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/07/2013	LCSET-4574	01/20/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111CU-0003-SM-5DWTR	NA	B1	NA	Blood	Whole Blood	0013756	-148	NA	BP-38688	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/07/2013	GTEx_OM25_Dec_01	01/29/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111CU-0003-SM-6WBUD	NA	B1	NA	Blood	Whole Blood	0013756	-148	NA	BP-38688	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/07/2013	LCSET-6056	09/22/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111FC-0001-SM-58Q7U	NA	B1	NA	Blood	Whole Blood	0013756	963	NA	BP-38625	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/06/2013	LCSET-4574	01/15/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
